feature	p__Euryarchaeota	p__Actinobacteria	p__Bacteroidetes	p__Candidatus_Saccharibacteria	p__Firmicutes	p__Fusobacteria	p__Proteobacteria	p__Verrucomicrobia
BB.060	0	0.0169501241320657	0.486875144612293	0	0.142116658432886	0	0.354058072822756	0
BB.056	0	0.00389231412442536	0.643605245691419	0	0.208559856081	0.123989987797949	0.0199525963052063	0
BB.055	0	0.0123768572931369	0.413888441342614	0	0.573088116514484	0	0.000646584849765004	0
BB.054	0	0.0112265460171237	0.792831435061031	0	0.0947754451656247	0.0143783564894979	0.0867882172667229	0
BB.053	0	0.0323483797789221	0.547025744713026	0	0.400506506519951	0	0.0201193689881008	0
BB.052	0.000308883475567419	0.00251435465806413	0.467806841589122	0	0.496393911326341	0	0.0329760089509059	0
BB.050	0	0.0196519100918485	0.355067070146217	0	0.612231509814473	0.000104325372913647	0.0129451845745478	0
BB.048	0	0.010053684457144	0.464084739308184	0.000581892073449507	0.509500059800046	0.0024782034586008	0.0123346690439077	0.000966751858668143
BB.047	0	0.237031450639695	0.262202398407952	3.11504176935036e-05	0.490678641921427	2.35183579656678e-05	0.0100328402552659	0
BB.046	0	0.056094626127503	0.310006973507723	9.0669704571909e-07	0.474971131773505	0.0020014833563668	0.156924878537856	0
BB.044	0	0	0	0	0.00500211212923158	0	0.994997887870768	0
BB.042	0	0.144041551692506	0.00280098336282699	3.50936650581299e-05	0.185206916478928	0.00104402001303819	0.666871434787643	0
BB.041	0.000919840099413848	0	0.502068938412822	0	0.497011221487764	0	0	0
BB.040	0	0.000298057548983043	0.512376013241521	0	0.0898116137231888	0.00177614487485978	0.395738170611447	0
BB.036	0	0.00639015939186076	0.508874289357154	0	0.452116973019509	6.62871115759393e-05	0.0325522911199003	0
BB.035	0	0.00119946361984381	0.950538735917975	3.20214326360749e-05	0.0473372697595515	0.000279164824611419	0.000613344445381734	0
BB.033	0	0	0	0	1	0	0	0
BB.032	0	0	0	0	0.189812331871054	0	0.810187668128946	0
BB.031	0.00116850148188598	0.0244780051438742	0.148504566543141	0	0.821118563383452	0	0.00473036344764628	0
BB.030	0	0.0156004038858333	0.725054034838859	0	0.214817205171609	0	0.044528356103699	0
BB.028	4.60987138250251e-05	0.00301075706186406	0.506294612499635	0	0.283555066060917	1.97118934681669e-05	0.121440647384472	0.0856331063858191
BB.027	0	0	0.06610644279875	0	0.102492630785743	0.000772144845032785	0.830628781570474	0
BB.026	0	3.32063782336934e-05	0.882346879417899	0	0.0490855497108377	2.49047836752701e-05	0.0624877117340752	0.00602174797527921
BB.024	0	0.448836393852272	0.251810487689041	0.000490934983846477	0.067204972719355	0.00801483071426145	0.223642380041224	0
BB.020	0	0.049369385356851	0.504965406771073	1.40100825894369e-05	0.414239772213727	0.00182509724543475	0.0295863283303244	0
BB.019	0	0.00052272244572244	0.574819699653449	0	0.024278475251337	0.316212306481627	0.0841667961678643	0
BB.013	0	0.382343113284747	0.00605715991479487	0	0.611038425363189	0.000188434711798422	0.000372866725470407	0
BB.012	0	0.0334210435774885	0.209762716432374	6.81659838121916e-05	0.661463497151508	0.00815733941929176	0.0871272374355254	0
BB.008	0	0.00662599709660085	0.623036663211937	0	0.321253808594881	9.22350559158317e-05	0.0489912960406654	0
BB.006	0	0.00299459505746564	0.784162804016726	0	0.0464271638733163	0.000161970762040603	0.166253466290452	0
BB.004	0	0.047399387762963	0.684459837147253	8.03739298514538e-06	0.214527496831296	0.00323451990528615	0.0503707209602167	0
BB.001	0	0.00205679666522935	0.760923358607897	0	0.156469953340149	8.10955357607761e-05	0.080468795850964	0
