feature	p__Euryarchaeota	p__Actinobacteria	p__Bacteroidetes	p__Candidatus_Saccharibacteria	p__Firmicutes	p__Fusobacteria	p__Proteobacteria	p__Verrucomicrobia
BB.031	-9.74112472092373	-5.35237020062929	-2.75142080003742	-21.3364620768888	-0.284337543462219	-19.0189835409742	-7.72383325036318	-18.2918140445687
BB.030	-16.3657901771959	-6.00227280962656	-0.46383957853338	-21.3364620768888	-2.21881854839032	-19.0189835409742	-4.48913183837609	-18.2918140445687
BB.028	-14.4049139750651	-8.37565798303721	-0.981950962331152	-21.3364620768888	-1.8182991628289	-15.6305741102355	-3.04167670817914	-3.54568752883986
BB.027	-16.3657901771959	-15.8781800954452	-3.91906530471586	-21.3364620768888	-3.28640791111817	-10.338840874531	-0.267724232383516	-18.2918140445687
BB.026	-16.3657901771959	-14.8781800954452	-0.180582156980767	-21.3364620768888	-4.34855781755327	-15.2932175947241	-4.00028367941331	-7.37560195561368
BB.024	-16.3657901771959	-1.15573843342051	-1.98958972357833	-10.9921804032641	-3.89528820301878	-6.96311223593226	-2.16073449131354	-18.2918140445687
BB.020	-16.3657901771959	-4.34023950597064	-0.985743537100686	-16.1231750139557	-1.27146201785993	-9.09781094846737	-5.07892552089766	-18.2918140445687
BB.019	-16.3657901771959	-10.9016672695396	-0.798818589624243	-21.3364620768888	-5.36417837017487	-1.66103457869481	-3.57060498797468	-18.2918140445687
BB.013	-16.3657901771959	-1.38706020621062	-7.36714278424463	-21.3364620768888	-0.710664987612879	-12.3736476294255	-11.3890523224238	-18.2918140445687
BB.012	-16.3657901771959	-4.90309940728641	-2.25316982115756	-13.8405884892654	-0.596266551280705	-6.93768560213308	-3.52073238977571	-18.2918140445687
BB.008	-16.3657901771959	-7.23764671340743	-0.682611032315905	-21.3364620768888	-1.63821453674154	-13.4043252922893	-4.35133073186067	-18.2918140445687
BB.006	-16.3657901771959	-8.38342335613351	-0.350774884215343	-21.3364620768888	-4.42888703703889	-12.5919789693159	-2.58854367458684	-18.2918140445687
BB.004	-16.3657901771959	-4.39898776518793	-0.546962205629812	-16.9248409456958	-2.22076551942482	-8.27223269351488	-4.31127080921965	-18.2918140445687
BB.001	-16.3657901771959	-8.92538510847793	-0.394176944344517	-21.3364620768888	-2.67604244941594	-13.5900179769247	-3.63542674565907	-18.2918140445687
