feature	g__Methanobrevibacter	g__Actinomyces	g__Trueperella	g__Bifidobacterium	g__Rothia	g__Isoptericola	g__Lancefieldella	g__Olsenella	g__Collinsella	g__Senegalimassilia	g__Adlercreutzia	g__Eggerthella	g__Slackia	g__Bacteroides	g__Phocaeicola	g__Barnesiella	g__Coprobacter	g__Butyricimonas	g__Odoribacter	g__Porphyromonas	g__Paraprevotella	g__Prevotella	g__Alistipes	g__Parabacteroides	g__Gemella	g__Staphylococcus	g__Granulicatella	g__Enterococcus	g__Lacticaseibacillus	g__Lactobacillus	g__Ligilactobacillus	g__Limosilactobacillus	g__Lactococcus	g__Streptococcus	g__Candidatus_Avimicrobium	g__Butyricicoccus	g__Clostridium	g__Hungatella	g__Mogibacterium	g__Evtepia	g__Intestinimonas	g__Eubacterium	g__Anaerobutyricum	g__Anaerostipes	g__Anaerotignum	g__Blautia	g__Coprococcus	g__Dorea	g__Eisenbergiella	g__Enterocloster	g__Faecalicatena	g__Fusicatenibacter	g__Lachnoclostridium	g__Lachnospira	g__Lacrimispora	g__Mediterraneibacter	g__Oribacterium	g__Roseburia	g__Sellimonas	g__Tyzzerella	g__Dysosmobacter	g__Oscillibacter	g__Intestinibacter	g__Peptostreptococcus	g__Romboutsia	g__Agathobaculum	g__Anaerotruncus	g__Candidatus_Cibiobacter	g__Faecalibacterium	g__Flavonifractor	g__Gemmiger	g__Massilimaliae	g__Ruminococcus	g__Ruthenibacterium	g__Catenibacterium	g__Coprobacillus	g__Dielma	g__Erysipelatoclostridium	g__Faecalibacillus	g__Holdemania	g__Solobacterium	g__Turicibacter	g__Acidaminococcus	g__Phascolarctobacterium	g__Megamonas	g__Selenomonas	g__Allisonella	g__Anaeroglobus	g__Colibacter	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	g__Leptotrichia	g__Parasutterella	g__Sutterella	g__Neisseria	g__Bilophila	g__Desulfovibrio	g__Campylobacter	g__Escherichia	g__Klebsiella	g__Aggregatibacter	g__Haemophilus	g__Akkermansia	g__Unknown
BB.026	0	0	0	0	0	0	0	0	0	0	368	0	416	229610	12974940	0	0	0	592929	0	0	0	4325449	2707156	0	0	0	0	0	0	0	0	0	20179	0	0	98012	17951	0	0	0	0	34569	607	8034	174591	1329	38418	0	281103	0	0	2476	0	0	74582	0	0	0	31495	1426	0	0	0	0	0	0	0	12923	18580	0	1327	13162	24023	0	0	0	71792	0	0	0	0	2143	0	0	0	1941	0	124	97	75	50494	588	0	0	686027	0	42790	0	0	3544	0	0	0	142173	395080
BB.024	0	868	0	5140336	0	0	544	0	91989	0	0	0	38732	2305571	466720	0	0	0	0	47667	0	115397	0	11803	10023	0	0	443	150	0	0	0	0	56054	0	0	0	0	2406	0	0	0	6002	106122	0	1585	11704	0	0	0	0	0	0	0	7070	108370	4705	0	0	0	0	0	0	7825	0	0	0	0	73125	0	0	0	0	0	0	0	0	76224	118685	0	2008	0	0	38576	0	2641	0	1405	0	12342	1120	123281	88740	4608	10578	1450376	103767	5106	0	18554	560260	0	36970	417469	0	14635
BB.020	0	1213	114	403409	0	0	151	0	0	0	227939	2238	0	4306172	2714887	0	0	49788	28606	0	0	0	660954	143043	0	0	0	0	0	0	0	0	0	39386	0	0	18742	0	0	0	3373	60500	789430	278754	0	552509	13468	295554	0	72399	24	277771	107	0	24399	267439	0	514098	0	2514	12027	70134	7235	0	0	32622	4211	0	1129433	12133	94855	0	0	3264	229363	0	0	1757	0	1127	0	0	480304	0	0	0	0	697	0	106857	7641	141641	1164	0	1302	261630	0	19209	0	1703	65591	0	0	46001	0	547406
BB.019	0	0	0	7132	0	0	0	0	3466	0	0	0	556	4534350	1415023	0	0	16476	7164	0	175749	0	78362	5840142	0	0	0	0	0	0	0	0	0	0	0	0	64182	2922	0	0	8574	9904	2001	470	0	75216	297	0	0	4609	0	3473	22661	0	0	25684	0	4349	0	1734	0	0	0	0	0	1100	0	406	0	9511	0	0	0	0	4959	0	0	40894	0	0	0	0	0	0	109616	0	0	0	0	0	0	680	6736088	0	0	291283	0	6023	1700	0	1493717	0	0	3252	0	100867
BB.013	0	56417	391	4171383	15511	3538	72539	46473	0	0	0	0	634	0	78690	0	0	0	0	0	0	0	0	0	0	0	1336	1225042	353306	541276	0	1417390	0	2410234	0	0	22692	0	16069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	45780	66810	12093	0	0	0	5719	0	0	0	0	0	0	0	0	0	0	0	0	0	15086	0	0	0	0	9050	0	3260	57348	1707369	2448	0	0	0	0	0	0	3057	0	0	0	0	0	0
BB.012	0	22109	0	416204	0	0	9257	548	0	0	0	0	5048	0	0	0	0	0	0	0	0	1065666	1860784	0	284	0	0	3343176	0	0	0	0	0	192290	0	14977	9191	1939780	922	0	894	0	0	8267	0	71235	7504	0	0	166682	0	0	23855	0	6846	966922	0	361878	52391	10634	8827	0	49763	0	0	0	0	0	0	111759	0	0	0	27423	0	0	0	250572	0	7460	0	3488	0	0	0	4012	0	7141	0	1801	100937	721790	113532	273	0	0	0	0	0	25066	254162	0	1098	440117	0	54791
BB.008	0	0	0	5198	6997	0	0	0	17546	0	0	0	0	1558155	0	0	0	0	0	0	0	1238365	0	0	950	0	766	193	0	1184	0	31558	0	205807	0	0	1233	0	0	0	0	0	0	1069	0	143497	0	0	0	30439	0	0	37317	0	0	11210	0	0	0	30781	0	0	0	0	0	0	664	0	74508	0	66829	0	0	0	0	0	0	9901	0	0	0	0	0	0	0	0	0	0	0	3800	0	724075	414	0	0	0	0	0	0	4411	9724	92349	3660	109755	0	66177
BB.006	0	0	0	100391	0	0	0	0	0	0	0	2942	0	22063143	4622158	0	0	6039	0	0	0	2658	0	650144	0	0	0	111104	0	0	0	0	0	1928	0	0	65135	0	0	0	0	0	0	2543	0	38434	0	0	0	4767	0	0	6204	0	0	642582	0	0	0	8999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	734712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5648	0	0	1256878	3207	0	0	99	4476941	46630	13218	367	0	2530
BB.004	0	6329	0	485328	3321	3805	780	80	96830	0	0	24250	0	2159869	4369977	0	22272	0	584171	0	0	0	29818	1102097	4769	0	1393	0	0	0	0	0	0	124781	0	0	55766	86	2988	0	0	2935	759654	80350	136161	89360	3108	45320	2807	66018	0	1673	70060	0	36832	705192	0	54982	0	0	0	0	0	5790	0	6562	0	0	197840	34099	41138	0	0	110830	0	0	16062	76528	34581	97	387	0	0	0	0	363	0	866	0	8814	7122	33205	42658	0	0	144005	11480	5326	0	5085	433563	0	27026	22779	0	7795
BB.001	0	0	0	14417	0	0	0	0	1739	0	0	0	0	1942965	3946177	0	0	0	0	0	0	0	0	87860	0	6501	0	1636	0	0	0	0	0	78815	0	0	0	0	0	0	0	0	4417	306625	0	45797	0	0	0	81183	0	346	0	0	0	620124	0	0	558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31559	0	0	0	0	0	0	0	0	0	0	0	0	368	51132	637	0	0	628763	0	0	0	3314	0	0	0	0	0	0
