metadata;PR (n = 31);PNR (n = 22);pvalue.unadjusted;pvalue
s__Lacrimispora_SGB36971;0.000000;4.545455;0.861894634662836;1
s__Marvinbryantia_SGB4691;0.000000;4.545455;0.861894634662836;1
s__Eubacterium_tenue;0.000000;4.545455;0.861894634662836;1
s__Peptacetobacter_hiranonis;0.000000;4.545455;0.861894634662836;1
s__Terrisporobacter_othiniensis;0.000000;4.545455;0.861894634662836;1
s__Anaerotruncus_massiliensis;0.000000;4.545455;0.861894634662836;1
s__Bittarella_massiliensis;0.000000;4.545455;0.861894634662836;1
s__Candidatus_Soleaferrea_massiliensis;0.000000;4.545455;0.861894634662836;1
s__GGB9608_SGB15041;0.000000;4.545455;0.861894634662836;1
s__GGB9636_SGB15107;0.000000;4.545455;0.861894634662836;1
s__GGB9730_SGB15290;0.000000;4.545455;0.861894634662836;1
s__Gemmiger_sp_An194;0.000000;4.545455;0.861894634662836;1
s__Pseudoflavonifractor_capillosus;0.000000;4.545455;0.861894634662836;1
s__Ruminococcus_SGB4421;0.000000;4.545455;0.861894634662836;1
s__Bulleidia_extructa;0.000000;4.545455;0.861894634662836;1
s__Eggerthia_catenaformis;0.000000;4.545455;0.861894634662836;1
s__Massilicoli_timonensis;0.000000;4.545455;0.861894634662836;1
s__Massilimicrobiota_sp_An134;0.000000;4.545455;0.861894634662836;1
s__GGB4243_SGB5738;0.000000;4.545455;0.861894634662836;1
s__GGB4979_SGB6973;0.000000;4.545455;0.861894634662836;1
s__Megasphaera_sp_AM44_1BH;0.000000;4.545455;0.861894634662836;1
s__Veillonella_denticariosi;0.000000;4.545455;0.861894634662836;1
s__Finegoldia_magna;0.000000;4.545455;0.861894634662836;1
s__Fusobacteriaceae_bacterium;0.000000;4.545455;0.861894634662836;1
s__Fusobacterium_varium;0.000000;4.545455;0.861894634662836;1
s__GGB4395_SGB6050;0.000000;4.545455;0.861894634662836;1
s__GGB6566_SGB9275;0.000000;4.545455;0.861894634662836;1
s__Kingella_oralis;0.000000;4.545455;0.861894634662836;1
s__GGB6547_SGB9247;0.000000;4.545455;0.861894634662836;1
